,d_kpi_id,d_level0_id,d_level1_id,d_level2_id,Period_int,PeriodName,Numerator,Denominator,Grain
0,1,1,1,1,2019-01-01,01/01/2019,5443072,4778382,DayName
1,1,1,1,1,2019-01-02,02/01/2019,5218662,5115809,DayName
2,1,1,1,1,2019-01-03,03/01/2019,5208972,4452139,DayName
3,1,1,1,1,2019-01-04,04/01/2019,4946808,4529708,DayName
4,1,1,1,1,2019-01-05,05/01/2019,4976178,5145572,DayName
5,1,1,1,1,2019-01-06,06/01/2019,4883510,4425715,DayName
6,1,1,1,1,2019-01-07,07/01/2019,4610667,4664526,DayName
7,1,1,1,1,2019-02-01,01/02/2019,5340728,5211232,DayName
8,1,1,1,1,2019-02-02,02/02/2019,4641857,4964861,DayName
9,1,1,1,1,2019-02-03,03/02/2019,5118607,5357039,DayName
10,1,1,1,1,2019-02-04,04/02/2019,4793972,4407051,DayName
11,1,1,1,1,2019-02-05,05/02/2019,4992098,4857393,DayName
12,1,1,1,1,2019-02-06,06/02/2019,4595084,5319916,DayName
13,1,1,1,1,2019-02-07,07/02/2019,4322279,5021626,DayName
14,1,1,1,1,2019-03-01,01/03/2019,4574977,4758724,DayName
15,1,1,1,1,2019-03-02,02/03/2019,4953325,4888776,DayName
16,1,1,1,1,2019-03-03,03/03/2019,4560384,5698230,DayName
17,1,1,1,1,2019-03-04,04/03/2019,5705563,5208985,DayName
18,1,1,1,1,2019-03-05,05/03/2019,4815488,5296622,DayName
19,1,1,1,1,2019-03-06,06/03/2019,4709115,5101665,DayName
20,1,1,1,1,2019-03-07,07/03/2019,5072767,4850181,DayName
21,1,1,1,1,2019-04-01,01/04/2019,5575487,5298056,DayName
22,1,1,1,1,2019-04-02,02/04/2019,5062599,4622038,DayName
23,1,1,1,1,2019-04-03,03/04/2019,5096086,5105194,DayName
24,1,1,1,1,2019-04-04,04/04/2019,5307324,4873015,DayName
25,1,1,1,1,2019-04-05,05/04/2019,4610487,5321791,DayName
26,1,1,1,1,2019-04-06,06/04/2019,5684568,5453912,DayName
27,1,1,1,1,2019-04-07,07/04/2019,4648387,4614189,DayName
28,1,1,1,1,2019-05-01,01/05/2019,5433351,4889639,DayName
29,1,1,1,1,2019-05-02,02/05/2019,4826090,4631890,DayName
30,1,1,1,1,2019-05-03,03/05/2019,4772755,4599953,DayName
31,1,1,1,1,2019-05-04,04/05/2019,4890331,5338843,DayName
32,1,1,1,1,2019-05-05,05/05/2019,4303475,5752231,DayName
33,1,1,1,1,2019-05-06,06/05/2019,4275402,5152371,DayName
34,1,1,1,1,2019-05-07,07/05/2019,4933624,5430845,DayName
35,1,1,1,1,2019-06-01,01/06/2019,5420192,5334747,DayName
36,1,1,1,1,2019-06-02,02/06/2019,4748311,5092121,DayName
37,1,1,1,1,2019-06-03,03/06/2019,5141784,5087170,DayName
38,1,1,1,1,2019-06-04,04/06/2019,4949664,5707252,DayName
39,1,1,1,1,2019-06-05,05/06/2019,5007732,4740265,DayName
40,1,1,1,1,2019-06-06,06/06/2019,5276222,4316266,DayName
41,1,1,1,1,2019-06-07,07/06/2019,5093392,5023997,DayName
42,1,1,1,1,2019-07-01,01/07/2019,5458089,4851549,DayName
