,d_kpi_id,d_level0_id,d_level1_id,d_level2_id,Period_int,PeriodName,Numerator,Denominator,Grain
0,1,1,1,1,2019-03-31,Q1 2019,103484113,104054152,QuarterName
1,1,1,1,1,2019-06-30,Q2 2019,105057263,106385785,QuarterName
2,1,1,1,1,2019-09-30,Q3 2019,103186900,102739686,QuarterName
3,1,1,1,1,2019-12-31,Q4 2019,104040675,105401187,QuarterName
4,1,1,1,2,2019-03-31,Q1 2019,54623676,52470482,QuarterName
5,1,1,1,2,2019-06-30,Q2 2019,51708821,52150079,QuarterName
6,1,1,1,2,2019-09-30,Q3 2019,52938817,53147568,QuarterName
7,1,1,1,2,2019-12-31,Q4 2019,51497851,49672508,QuarterName
8,1,1,1,3,2019-03-31,Q1 2019,51750625,52328963,QuarterName
9,1,1,1,3,2019-06-30,Q2 2019,50478672,53271803,QuarterName
10,1,1,1,3,2019-09-30,Q3 2019,50747234,50861675,QuarterName
11,1,1,1,3,2019-12-31,Q4 2019,53573017,51055702,QuarterName
12,1,1,1,4,2019-03-31,Q1 2019,52705129,53433617,QuarterName
13,1,1,1,4,2019-06-30,Q2 2019,52195290,55051240,QuarterName
14,1,1,1,4,2019-09-30,Q3 2019,51346259,51662164,QuarterName
15,1,1,1,4,2019-12-31,Q4 2019,50845974,52237491,QuarterName
16,2,1,1,1,2019-03-31,Q1 2019,155472016,157680726,QuarterName
17,2,1,1,1,2019-06-30,Q2 2019,158625935,152540321,QuarterName
18,2,1,1,1,2019-09-30,Q3 2019,155717214,154984733,QuarterName
19,2,1,1,1,2019-12-31,Q4 2019,154595922,149942262,QuarterName
20,2,1,1,2,2019-03-31,Q1 2019,51574903,50550398,QuarterName
21,2,1,1,2,2019-06-30,Q2 2019,53204999,53016891,QuarterName
22,2,1,1,2,2019-09-30,Q3 2019,51108019,50216655,QuarterName
23,2,1,1,2,2019-12-31,Q4 2019,52129982,53824853,QuarterName
24,2,1,1,3,2019-03-31,Q1 2019,52433902,54423754,QuarterName
25,2,1,1,3,2019-06-30,Q2 2019,51937542,51472954,QuarterName
26,2,1,1,3,2019-09-30,Q3 2019,53319771,52361613,QuarterName
27,2,1,1,3,2019-12-31,Q4 2019,53769739,52396757,QuarterName
28,3,1,1,1,2019-03-31,Q1 2019,160827189,155943332,QuarterName
29,3,1,1,1,2019-06-30,Q2 2019,157832793,157373845,QuarterName
30,3,1,1,1,2019-09-30,Q3 2019,158255025,155522045,QuarterName
31,3,1,1,1,2019-12-31,Q4 2019,158854842,156542788,QuarterName
32,3,1,1,2,2019-03-31,Q1 2019,53708735,54038780,QuarterName
33,3,1,1,2,2019-06-30,Q2 2019,52977830,50697797,QuarterName
34,3,1,1,2,2019-09-30,Q3 2019,49901240,53278423,QuarterName
35,3,1,1,2,2019-12-31,Q4 2019,49619872,50078235,QuarterName
36,3,1,1,3,2019-03-31,Q1 2019,53718252,52507666,QuarterName
37,3,1,1,3,2019-06-30,Q2 2019,51601589,50536016,QuarterName
38,3,1,1,3,2019-09-30,Q3 2019,51824529,52784301,QuarterName
39,3,1,1,3,2019-12-31,Q4 2019,54284133,54095339,QuarterName
40,4,1,1,1,2019-03-31,Q1 2019,155866169,156274805,QuarterName
41,4,1,1,1,2019-06-30,Q2 2019,159881994,159370365,QuarterName
42,4,1,1,1,2019-09-30,Q3 2019,157592818,155222932,QuarterName
43,4,1,1,1,2019-12-31,Q4 2019,159680163,152335223,QuarterName
44,4,1,1,2,2019-03-31,Q1 2019,52059552,51639320,QuarterName
45,4,1,1,2,2019-06-30,Q2 2019,51886346,53011525,QuarterName
46,4,1,1,2,2019-09-30,Q3 2019,51889689,49235004,QuarterName
47,4,1,1,2,2019-12-31,Q4 2019,52377413,50703187,QuarterName
48,4,1,1,3,2019-03-31,Q1 2019,52049790,52617450,QuarterName
49,4,1,1,3,2019-06-30,Q2 2019,51771643,54733816,QuarterName
50,4,1,1,3,2019-09-30,Q3 2019,54803772,49665678,QuarterName
51,4,1,1,3,2019-12-31,Q4 2019,52650321,52165669,QuarterName
52,5,1,1,1,2019-03-31,Q1 2019,155458433,155460626,QuarterName
53,5,1,1,1,2019-06-30,Q2 2019,158698520,157654082,QuarterName
54,5,1,1,1,2019-09-30,Q3 2019,157282561,154922194,QuarterName
55,5,1,1,1,2019-12-31,Q4 2019,154761775,156538771,QuarterName
56,5,1,1,2,2019-03-31,Q1 2019,52282315,51980963,QuarterName
57,5,1,1,2,2019-06-30,Q2 2019,54188029,51813823,QuarterName
58,5,1,1,2,2019-09-30,Q3 2019,49518285,52083316,QuarterName
59,5,1,1,2,2019-12-31,Q4 2019,52881188,51790421,QuarterName
60,5,1,1,3,2019-03-31,Q1 2019,50214115,50647223,QuarterName
61,5,1,1,3,2019-06-30,Q2 2019,52202206,51496617,QuarterName
62,5,1,1,3,2019-09-30,Q3 2019,52692375,50686023,QuarterName
63,5,1,1,3,2019-12-31,Q4 2019,51116161,51444983,QuarterName
64,6,1,1,1,2019-03-31,Q1 2019,157001753,158872504,QuarterName
65,6,1,1,1,2019-06-30,Q2 2019,157586360,157740162,QuarterName
66,6,1,1,1,2019-09-30,Q3 2019,155789825,154469693,QuarterName
67,6,1,1,1,2019-12-31,Q4 2019,157262650,159258436,QuarterName
68,6,1,1,2,2019-03-31,Q1 2019,50496029,51729581,QuarterName
69,6,1,1,2,2019-06-30,Q2 2019,54565762,51912231,QuarterName
70,6,1,1,2,2019-09-30,Q3 2019,54264752,53121368,QuarterName
71,6,1,1,2,2019-12-31,Q4 2019,55042336,53992350,QuarterName
72,6,1,1,3,2019-03-31,Q1 2019,53033650,51711262,QuarterName
73,6,1,1,3,2019-06-30,Q2 2019,51906301,53502273,QuarterName
74,6,1,1,3,2019-09-30,Q3 2019,52488750,52512238,QuarterName
75,6,1,1,3,2019-12-31,Q4 2019,50451476,50706771,QuarterName
