f_kpi_id;d_kpi_id;d_target_id;d_level0_id;d_level1_id;d_level2_id;d_level3_id;d_level4_id;Numerator;Denominator;d_date_id
1;1;1;1;1;1;1;1;2583358;2204379;20190101
2;1;1;1;1;1;1;1;2893912;2399590;20190201
3;1;1;1;1;1;1;1;2353169;2044581;20190301
4;1;1;1;1;1;1;1;2768829;2819189;20190401
5;1;1;1;1;1;1;1;2626222;2450635;20190501
6;1;1;1;1;1;1;1;2871581;2735442;20190601
7;1;1;1;1;1;1;1;2790296;2549718;20190701
8;1;1;1;1;1;1;1;2550511;2177270;20190801
9;1;1;1;1;1;1;1;2556226;2434967;20190901
10;1;1;1;1;1;1;1;2085549;2546232;20191001
11;1;1;1;1;1;1;1;2859332;2746210;20191101
12;1;1;1;1;1;1;1;2541656;2413302;20191201
13;1;1;1;1;1;2;1;2859714;2574003;20190101
14;1;1;1;1;1;2;1;2446816;2811642;20190201
15;1;1;1;1;1;2;1;2221808;2714143;20190301
16;1;1;1;1;1;2;1;2806658;2478867;20190401
17;1;1;1;1;1;2;1;2807129;2439004;20190501
18;1;1;1;1;1;2;1;2548611;2599305;20190601
19;1;1;1;1;1;2;1;2667793;2301831;20190701
20;1;1;1;1;1;2;1;2176397;2222361;20190801
21;1;1;1;1;1;2;1;2433620;2371560;20190901
22;1;1;1;1;1;2;1;2265395;2139890;20191001
23;1;1;1;1;1;2;1;2329994;2905928;20191101
24;1;1;1;1;1;2;1;2156524;2186812;20191201
25;1;1;1;1;2;3;1;2752041;2248428;20190101
26;1;1;1;1;2;3;1;2836480;2163051;20190201
27;1;1;1;1;2;3;1;2594945;2586329;20190301
28;1;1;1;1;2;3;1;2239898;2091479;20190401
29;1;1;1;1;2;3;1;2370695;2245048;20190501
30;1;1;1;1;2;3;1;2695735;2924447;20190601
31;1;1;1;1;2;3;1;2040183;2839498;20190701
32;1;1;1;1;2;3;1;2651169;2846018;20190801
33;1;1;1;1;2;3;1;2514963;2194054;20190901
34;1;1;1;1;2;3;1;2488056;2253140;20191001
35;1;1;1;1;2;3;1;2465453;2868192;20191101
36;1;1;1;1;2;3;1;2910745;2295625;20191201
37;1;1;1;1;3;5;1;2482219;2844845;20190101
38;1;1;1;1;3;5;1;2348976;2867273;20190201
39;1;1;1;1;3;5;1;2759809;2653877;20190301
40;1;1;1;1;3;5;1;2567347;2280024;20190401
41;1;1;1;1;3;5;1;2420228;2710097;20190501
42;1;1;1;1;3;5;1;2552596;2098715;20190601
43;1;1;1;1;3;5;1;2284971;2200837;20190701
44;1;1;1;1;3;5;1;2116473;2248414;20190801
45;1;1;1;1;3;5;1;2719214;2737572;20190901
46;1;1;1;1;3;5;1;2159367;2290138;20191001
47;1;1;1;1;3;5;1;2441693;2419100;20191101
48;1;1;1;1;3;5;1;2666410;2716860;20191201
49;1;1;1;1;4;4;1;2522914;2198451;20190101
50;1;1;1;1;4;4;1;2515896;2294539;20190201
51;1;1;1;1;4;4;1;2093557;2834026;20190301
52;1;1;1;1;4;4;1;2497807;2497214;20190401
53;1;1;1;1;4;4;1;2174767;2436892;20190501
54;1;1;1;1;4;4;1;2263397;2934852;20190601
55;1;1;1;1;4;4;1;2170100;2066395;20190701
56;1;1;1;1;4;4;1;2376296;2218605;20190801
57;1;1;1;1;4;4;1;2667187;2798916;20190901
58;1;1;1;1;4;4;1;2198293;2426985;20191001
59;1;1;1;1;4;4;1;2157972;2149110;20191101
60;1;1;1;1;4;4;1;2622862;2891580;20191201
61;2;1;1;1;1;1;1;2261369;2523530;20190101
62;2;1;1;1;1;1;1;2162688;2799931;20190201
63;2;1;1;1;1;1;1;2358667;2686938;20190301
