,d_kpi_id,d_level0_id,d_level1_id,d_level2_id,Period_int,PeriodName,Numerator,Denominator,Grain
0,1,1,1,1,2019-01-31,2019 January,35287869,33111851,MonthName
1,1,1,1,1,2019-02-28,2019 February,33804625,35139118,MonthName
2,1,1,1,1,2019-03-31,2019 March,34391619,35803183,MonthName
3,1,1,1,1,2019-04-30,2019 April,35984938,35288195,MonthName
4,1,1,1,1,2019-05-31,2019 May,33435028,35795772,MonthName
5,1,1,1,1,2019-06-30,2019 June,35637297,35301818,MonthName
6,1,1,1,1,2019-07-31,2019 July,34017421,35699626,MonthName
7,1,1,1,1,2019-08-31,2019 August,35613627,32958796,MonthName
8,1,1,1,1,2019-09-30,2019 September,33555852,34081264,MonthName
9,1,1,1,1,2019-10-31,2019 October,34575262,34616421,MonthName
10,1,1,1,1,2019-11-30,2019 November,35968667,36786925,MonthName
11,1,1,1,1,2019-12-31,2019 December,33496746,33997841,MonthName
12,1,1,1,2,2019-01-31,2019 January,17754056,16822883,MonthName
13,1,1,1,2,2019-02-28,2019 February,18420131,17510361,MonthName
14,1,1,1,2,2019-03-31,2019 March,18449489,18137238,MonthName
15,1,1,1,2,2019-04-30,2019 April,16894823,17434341,MonthName
16,1,1,1,2,2019-05-31,2019 May,16898306,16028812,MonthName
17,1,1,1,2,2019-06-30,2019 June,17915692,18686926,MonthName
18,1,1,1,2,2019-07-31,2019 July,16689822,18745061,MonthName
19,1,1,1,2,2019-08-31,2019 August,17980928,18091558,MonthName
20,1,1,1,2,2019-09-30,2019 September,18268067,16310949,MonthName
21,1,1,1,2,2019-10-31,2019 October,16979942,16839792,MonthName
22,1,1,1,2,2019-11-30,2019 November,16935557,16136692,MonthName
23,1,1,1,2,2019-12-31,2019 December,17582352,16696024,MonthName
24,1,1,1,3,2019-01-31,2019 January,16999300,17737245,MonthName
25,1,1,1,3,2019-02-28,2019 February,17765488,17055490,MonthName
26,1,1,1,3,2019-03-31,2019 March,16985837,17536228,MonthName
27,1,1,1,3,2019-04-30,2019 April,17875173,16411541,MonthName
