d_date_id,Numerator,d_level0_id,Denominator,d_kpi_id,d_level1_id,d_level2_id
20210805,150269206.03,1,0,22,1,6
20210806,155727255.87,1,0,22,1,6
20210807,158658675.47,1,0,22,1,6
20210808,149795684.03,1,0,22,1,6
20210809,156808956.76,1,0,22,1,6
20210810,159383774.14,1,0,22,1,6
20210811,168248782.11,1,0,22,1,6
20210812,159741882.9,1,0,22,1,6
20210813,177845838.76,1,0,22,1,6
20210814,180898927.74,1,0,22,1,6
20210815,181818057.54,1,0,22,1,6
20210816,183682074.23,1,0,22,1,6
20210817,169431649.62,1,0,22,1,6
20210818,170532560.16,1,0,22,1,6
20210819,180615727.58,1,0,22,1,6
20210820,201798484.32,1,0,22,1,6
20210821,199869397.53,1,0,22,1,6
20210822,209877216.6,1,0,22,1,6
20210823,214023968.77,1,0,22,1,6
20210824,194106389.43,1,0,22,1,6
20210825,193934096.23,1,0,22,1,6
20210826,159679115.17,1,0,22,1,6
20210827,163739098.84,1,0,22,1,6
20210828,164465521.57,1,0,22,1,6
20210829,169916441.97,1,0,22,1,6
20210830,162079882.27,1,0,22,1,6
20210831,146078270.69,1,0,22,1,6
20210901,145960463.32,1,0,22,1,6
20210902,141214712.9,1,0,22,1,6
20210903,149165473.77,1,0,22,1,6
20210904,159614324.24,1,0,22,1,6
20210905,170329646.09,1,0,22,1,6
20210906,170624250.93,1,0,22,1,6
20210907,135078135.65,1,0,22,1,6
20210908,136566561.05,1,0,22,1,6
20210909,153918122.2,1,0,22,1,6
20210910,162951514.53,1,0,22,1,6
20210911,157444545.86,1,0,22,1,6
20210912,154287982.81,1,0,22,1,6
20210913,166599414.91,1,0,22,1,6
20210914,181239976.93,1,0,22,1,6
20210915,186175047.01,1,0,22,1,6
20210916,176471762.5,1,0,22,1,6
20210917,161245043.75,1,0,22,1,6
20210918,168287913.61,1,0,22,1,6
20210919,157959180.11,1,0,22,1,6
20210920,152890450.16,1,0,22,1,6
20210921,133646926.32,1,0,22,1,6
20210922,150112685.31,1,0,22,1,6
20210923,151790884.43,1,0,22,1,6
20210924,144993389.48,1,0,22,1,6
20210925,140368457.91,1,0,22,1,6
20210926,155248430.79,1,0,22,1,6
20210927,148255002.73,1,0,22,1,6
20210928,138522778.54,1,0,22,1,6
20210929,139050546.59,1,0,22,1,6
20210930,147729796.99,1,0,22,1,6
20211001,181969516.01,1,0,22,1,6
20211002,184414200.7,1,0,22,1,6
20211003,202151243.11,1,0,22,1,6
20211004,202179459.78,1,0,22,1,6
20211005,214069696.16,1,0,22,1,6
20211006,207837309.97,1,0,22,1,6
20211007,200855091.09,1,0,22,1,6
20211008,201735510.48,1,0,22,1,6
20211009,196877011.76,1,0,22,1,6
20211010,198265710.58,1,0,22,1,6
20211011,193314093.46,1,0,22,1,6
20211012,193696117.6,1,0,22,1,6
20211013,185827509.68,1,0,22,1,6
20211014,183259457.43,1,0,22,1,6
20211015,177766408.97,1,0,22,1,6
20211016,171373126.69,1,0,22,1,6
20211017,168796811.32,1,0,22,1,6
20211018,172756664.22,1,0,22,1,6
20211019,180489102.98,1,0,22,1,6
20211020,179778510.35,1,0,22,1,6
20211021,184230142.3,1,0,22,1,6
20211022,177356999.04,1,0,22,1,6
20211023,177975533.58,1,0,22,1,6
20211024,173896678.05,1,0,22,1,6
20211025,178659670.68,1,0,22,1,6
20211026,183409671.37,1,0,22,1,6
20211027,177210626.13,1,0,22,1,6
