,d_kpi_id,d_level0_id,d_level1_id,d_level2_id,Period_int,PeriodName,Numerator,Denominator,Grain
0,15,1,22,0,2022-06-30,2022 June,157.31976389063493,0.0,M
1,15,1,22,0,2022-07-31,2022 July,822.3067415746809,0.0,M
2,15,1,22,0,2022-08-31,2022 August,2092.5915311688004,0.0,M
3,15,1,22,0,2022-09-30,2022 September,1450.1722049005584,0.0,M
4,15,1,22,0,2022-10-31,2022 October,800.8832538775314,0.0,M
5,15,1,22,0,2022-11-30,2022 November,1699.1780450796505,0.0,M
6,15,1,22,0,2022-12-31,2022 December,1510.8595765450664,0.0,M
7,15,1,22,0,2023-01-31,2023 January,32065.616242861885,0.0,M
8,15,3,1,0,2022-06-30,2022 June,28482.0,0.0,M
9,15,3,1,0,2022-07-31,2022 July,1004008.0,0.0,M
10,15,3,1,0,2022-08-31,2022 August,2045733.0,0.0,M
11,15,3,1,0,2022-09-30,2022 September,2611406.0,0.0,M
12,15,3,1,0,2022-10-31,2022 October,2816346.0,0.0,M
13,15,3,1,0,2022-11-30,2022 November,4480208.0,0.0,M
14,15,3,1,0,2022-12-31,2022 December,2995802.0,0.0,M
15,15,3,1,0,2023-01-31,2023 January,3277195.0,0.0,M
16,15,3,19,0,2022-08-31,2022 August,2982769.461208057,0.0,M
17,15,3,19,0,2022-09-30,2022 September,3113462.489364249,0.0,M
18,15,3,19,0,2022-10-31,2022 October,2692381.452231237,0.0,M
19,15,3,19,0,2022-11-30,2022 November,2330766.6379130273,0.0,M
20,15,3,19,0,2022-12-31,2022 December,2307709.2156951516,0.0,M
21,15,3,19,0,2023-01-31,2023 January,1823956.2663530726,0.0,M
22,15,3,22,0,2022-08-31,2022 August,674.6062650279624,0.0,M
23,15,3,22,0,2022-09-30,2022 September,332.7672767466828,0.0,M
24,15,3,22,0,2022-10-31,2022 October,556.2795757990006,0.0,M
25,15,3,22,0,2022-11-30,2022 November,1230.6288272667525,0.0,M
26,15,3,22,0,2022-12-31,2022 December,2697.846731073814,0.0,M
27,15,3,22,0,2023-01-31,2023 January,53805.6931374271,0.0,M
28,15,10,19,0,2022-04-30,2022 April,64968.558655,0.0,M
29,15,10,19,0,2022-05-31,2022 May,131419.91226500002,0.0,M
30,15,10,19,0,2022-06-30,2022 June,10462.611848,0.0,M
31,15,10,19,0,2022-07-31,2022 July,62532.024449000004,0.0,M
32,15,10,19,0,2022-08-31,2022 August,42828.308338,0.0,M
33,15,10,19,0,2022-09-30,2022 September,320388.572577,0.0,M
34,15,10,19,0,2022-10-31,2022 October,195236.37287999998,0.0,M
35,15,10,19,0,2022-11-30,2022 November,16639.294921,0.0,M
36,15,10,19,0,2022-12-31,2022 December,16573.191503,0.0,M
37,15,10,19,0,2023-01-31,2023 January,1719.70299,0.0,M
38,15,12,1,0,2022-06-30,2022 June,0.0,0.0,M
39,15,12,1,0,2022-07-31,2022 July,0.0,0.0,M
40,15,12,1,0,2022-08-31,2022 August,0.0,0.0,M
41,15,12,1,0,2022-09-30,2022 September,0.0,0.0,M
42,15,12,1,0,2022-10-31,2022 October,0.0,0.0,M
43,15,12,1,0,2022-11-30,2022 November,0.0,0.0,M
44,15,12,1,0,2022-12-31,2022 December,0.0,0.0,M
45,15,12,1,0,2023-01-31,2023 January,13808.0,0.0,M
46,15,12,19,0,2022-09-30,2022 September,72526.075797,0.0,M
47,15,12,19,0,2022-10-31,2022 October,254934.539156,0.0,M
48,15,12,19,0,2022-11-30,2022 November,102963.82976499999,0.0,M
49,15,12,19,0,2022-12-31,2022 December,70355.3481,0.0,M
50,15,12,19,0,2023-01-31,2023 January,167407.80791300003,0.0,M
51,15,12,22,0,2022-06-30,2022 June,1703.1658451792464,0.0,M
52,15,12,22,0,2022-07-31,2022 July,8012.905777575244,0.0,M
53,15,12,22,0,2022-08-31,2022 August,7485.451579028682,0.0,M
54,15,12,22,0,2022-09-30,2022 September,5790.840840654171,0.0,M
55,15,12,22,0,2022-10-31,2022 October,3224.7392234269646,0.0,M
56,15,12,22,0,2022-11-30,2022 November,7972.2823783128115,0.0,M
57,15,12,22,0,2022-12-31,2022 December,4338.548795891911,0.0,M
58,15,12,22,0,2023-01-31,2023 January,116759.81487492833,0.0,M
59,15,13,22,0,2022-06-30,2022 June,438.4179461284066,0.0,M
60,15,13,22,0,2022-07-31,2022 July,938.3703580800648,0.0,M
61,15,13,22,0,2022-08-31,2022 August,1830.0870755261658,0.0,M
62,15,13,22,0,2022-09-30,2022 September,456.07984393295555,0.0,M
63,15,13,22,0,2022-10-31,2022 October,229.27191614937328,0.0,M
64,15,13,22,0,2022-11-30,2022 November,2478.0650609047334,0.0,M
65,15,13,22,0,2022-12-31,2022 December,1669.3063294424283,0.0,M
66,15,13,22,0,2023-01-31,2023 January,29278.319347806282,0.0,M
