d_kpi_id,d_level0_id,d_level1_id,d_level2_id,d_date_id,Denominator,Numerator
2,1,1,1,20200101,1242805.0,248561.0
2,1,1,1,20200102,1220585.0,244117.0
2,1,1,1,20200103,157560.0,52520.0
2,1,1,1,20200104,997476.0,249369.0
2,1,1,1,20200105,614484.0,153621.0
2,1,1,1,20200106,1251895.0,250379.0
2,1,1,1,20200107,210585.0,70195.0
2,1,1,1,20200108,518736.0,172912.0
2,1,1,1,20200109,1116555.0,223311.0
2,1,1,1,20200110,845370.0,140895.0
2,1,1,1,20200111,1613475.0,322695.0
2,1,1,1,20200112,137562.0,45854.0
2,1,1,1,20200113,756591.0,252197.0
2,1,1,1,20200114,812040.0,203010.0
2,1,1,1,20200115,1575600.0,315120.0
2,1,1,1,20200116,101202.0,16867.0
2,1,1,1,20200117,331785.0,66357.0
2,1,1,1,20200118,856076.0,214019.0
2,1,1,1,20200119,1596305.0,319261.0
2,1,1,1,20200120,635088.0,105848.0
2,1,1,1,20200121,1100395.0,220079.0
2,1,1,1,20200122,403596.0,134532.0
2,1,1,1,20200123,1571964.0,261994.0
2,1,1,1,20200124,210080.0,42016.0
2,1,1,1,20200125,156954.0,26159.0
2,1,1,1,20200126,661146.0,110191.0
2,1,1,1,20200127,782952.0,260984.0
2,1,1,1,20200128,392688.0,65448.0
2,1,1,1,20200129,62115.0,12423.0
2,1,1,1,20200130,206848.0,51712.0
2,1,1,1,20200131,1006465.0,201293.0
2,1,1,1,20200201,568428.0,142107.0
2,1,1,1,20200202,549945.0,183315.0
2,1,1,1,20200203,380164.0,95041.0
2,1,1,1,20200204,1938594.0,323099.0
2,1,1,1,20200205,811737.0,270579.0
2,1,1,1,20200206,559944.0,93324.0
2,1,1,1,20200207,581760.0,116352.0
2,1,1,1,20200208,372387.0,124129.0
2,1,1,1,20200209,79588.0,19897.0
2,1,1,1,20200210,537522.0,89587.0
2,1,1,1,20200211,1734372.0,289062.0
2,1,1,1,20200212,449955.0,89991.0
2,1,1,1,20200213,1066560.0,266640.0
2,1,1,1,20200214,977680.0,244420.0
2,1,1,1,20200215,89385.0,17877.0
2,1,1,1,20200216,486012.0,121503.0
2,1,1,1,20200217,229472.0,57368.0
2,1,1,1,20200218,263610.0,87870.0
2,1,1,1,20200219,496112.0,124028.0
2,1,1,1,20200220,1484700.0,296940.0
2,1,1,1,20200221,1267045.0,253409.0
2,1,1,1,20200222,984245.0,196849.0
2,1,1,1,20200223,1830120.0,305020.0
2,1,1,1,20200224,802647.0,267549.0
2,1,1,1,20200225,65145.0,21715.0
2,1,1,1,20200226,786588.0,196647.0
2,1,1,1,20200227,1045350.0,174225.0
2,1,1,1,20200228,1265934.0,210989.0
2,1,1,1,20200229,1538735.0,307747.0
2,1,1,1,20200301,1368550.0,273710.0
2,1,1,1,20200302,143016.0,23836.0
2,1,1,1,20200303,245935.0,49187.0
2,1,1,1,20200304,84335.0,16867.0
2,1,1,1,20200305,522372.0,87062.0
2,1,1,1,20200306,124432.0,31108.0
2,1,1,1,20200307,375720.0,62620.0
2,1,1,1,20200308,500556.0,166852.0
2,1,1,1,20200309,928392.0,154732.0
2,1,1,1,20200310,1396830.0,232805.0
2,1,1,1,20200311,1460965.0,292193.0
2,1,1,1,20200312,122715.0,40905.0
2,1,1,1,20200313,794163.0,264721.0
2,1,1,1,20200314,739623.0,246541.0
2,1,1,1,20200315,125745.0,25149.0
2,1,1,1,20200316,956268.0,159378.0
2,1,1,1,20200317,287850.0,47975.0
2,1,1,1,20200318,1317444.0,219574.0
2,1,1,1,20200319,1501365.0,300273.0
2,1,1,1,20200320,783255.0,156651.0
2,1,1,1,20200321,1048380.0,209676.0
2,1,1,1,20200322,761439.0,253813.0
2,1,1,1,20200323,413696.0,103424.0
2,1,1,1,20200324,338148.0,84537.0
2,1,1,1,20200325,275932.0,68983.0
2,1,1,1,20200326,1052622.0,175437.0
2,1,1,1,20200327,494092.0,123523.0
2,1,1,1,20200328,1641654.0,273609.0
2,1,1,1,20200329,1302900.0,217150.0
2,1,1,1,20200330,1033230.0,206646.0
2,1,1,1,20200331,810222.0,270074.0
2,1,1,1,20200401,1564692.0,260782.0
2,1,1,1,20200402,1711950.0,285325.0
2,1,1,1,20200403,289264.0,72316.0
2,1,1,1,20200404,932028.0,310676.0
2,1,1,1,20200405,185133.0,61711.0
