d_kpi_id,d_level0_id,Period_int,PeriodName,Grain,Denominator,Numerator,Denominator_LP,Numerator_LP
1,1,2020-01-01 00:00:00,01/01/2020,D,0.0,74171.0,0.0,0.0
1,1,2020-01-02 00:00:00,02/01/2020,D,0.0,98916.0,0.0,74171.0
1,1,2020-01-03 00:00:00,03/01/2020,D,0.0,32333.0,0.0,98916.0
1,1,2020-01-04 00:00:00,04/01/2020,D,0.0,92492.0,0.0,32333.0
1,1,2020-01-05 00:00:00,05/01/2020,D,0.0,82557.0,0.0,92492.0
1,1,2020-01-06 00:00:00,06/01/2020,D,0.0,56339.0,0.0,82557.0
1,1,2020-01-07 00:00:00,07/01/2020,D,0.0,56707.0,0.0,56339.0
1,1,2020-01-08 00:00:00,08/01/2020,D,0.0,44412.0,0.0,56707.0
1,1,2020-01-09 00:00:00,09/01/2020,D,0.0,76549.0,0.0,44412.0
1,1,2020-01-10 00:00:00,10/01/2020,D,0.0,73993.0,0.0,76549.0
1,1,2020-01-11 00:00:00,11/01/2020,D,0.0,98736.0,0.0,73993.0
1,1,2020-01-12 00:00:00,12/01/2020,D,0.0,32161.0,0.0,98736.0
1,1,2020-01-13 00:00:00,13/01/2020,D,0.0,41024.0,0.0,32161.0
1,1,2020-01-14 00:00:00,14/01/2020,D,0.0,87898.0,0.0,41024.0
1,1,2020-01-15 00:00:00,15/01/2020,D,0.0,54765.0,0.0,87898.0
1,1,2020-01-16 00:00:00,16/01/2020,D,0.0,84689.0,0.0,54765.0
1,1,2020-01-17 00:00:00,17/01/2020,D,0.0,50467.0,0.0,84689.0
1,1,2020-01-18 00:00:00,18/01/2020,D,0.0,30122.0,0.0,50467.0
1,1,2020-01-19 00:00:00,19/01/2020,D,0.0,78596.0,0.0,30122.0
1,1,2020-01-20 00:00:00,20/01/2020,D,0.0,72565.0,0.0,78596.0
1,1,2020-01-21 00:00:00,21/01/2020,D,0.0,32514.0,0.0,72565.0
1,1,2020-01-22 00:00:00,22/01/2020,D,0.0,82374.0,0.0,32514.0
1,1,2020-01-23 00:00:00,23/01/2020,D,0.0,72412.0,0.0,82374.0
1,1,2020-01-24 00:00:00,24/01/2020,D,0.0,66060.0,0.0,72412.0
1,1,2020-01-25 00:00:00,25/01/2020,D,0.0,70553.0,0.0,66060.0
1,1,2020-01-26 00:00:00,26/01/2020,D,0.0,74462.0,0.0,70553.0
1,1,2020-01-27 00:00:00,27/01/2020,D,0.0,86260.0,0.0,74462.0
1,1,2020-01-28 00:00:00,28/01/2020,D,0.0,86020.0,0.0,86260.0
1,1,2020-01-29 00:00:00,29/01/2020,D,0.0,52662.0,0.0,86020.0
1,1,2020-01-30 00:00:00,30/01/2020,D,0.0,80662.0,0.0,52662.0
1,1,2020-01-31 00:00:00,2020 January,M,0.0,110193.0,0.0,0.0
1,1,2020-01-31 00:00:00,31/01/2020,D,0.0,91462.0,0.0,80662.0
1,1,2020-02-01 00:00:00,01/02/2020,D,0.0,50757.0,0.0,91462.0
1,1,2020-02-02 00:00:00,02/02/2020,D,0.0,52912.0,0.0,50757.0
1,1,2020-02-03 00:00:00,03/02/2020,D,0.0,87249.0,0.0,52912.0
1,1,2020-02-04 00:00:00,04/02/2020,D,0.0,56771.0,0.0,87249.0
1,1,2020-02-05 00:00:00,05/02/2020,D,0.0,48891.0,0.0,56771.0
1,1,2020-02-06 00:00:00,06/02/2020,D,0.0,91727.0,0.0,48891.0
1,1,2020-02-07 00:00:00,07/02/2020,D,0.0,73634.0,0.0,91727.0
1,1,2020-02-08 00:00:00,08/02/2020,D,0.0,53996.0,0.0,73634.0
1,1,2020-02-09 00:00:00,09/02/2020,D,0.0,64136.0,0.0,53996.0
1,1,2020-02-10 00:00:00,10/02/2020,D,0.0,47842.0,0.0,64136.0
1,1,2020-02-11 00:00:00,11/02/2020,D,0.0,50464.0,0.0,47842.0
1,1,2020-02-12 00:00:00,12/02/2020,D,0.0,67949.0,0.0,50464.0
1,1,2020-02-13 00:00:00,13/02/2020,D,0.0,56049.0,0.0,67949.0
1,1,2020-02-14 00:00:00,14/02/2020,D,0.0,68920.0,0.0,56049.0
1,1,2020-02-15 00:00:00,15/02/2020,D,0.0,98953.0,0.0,68920.0
1,1,2020-02-16 00:00:00,16/02/2020,D,0.0,88236.0,0.0,98953.0
1,1,2020-02-17 00:00:00,17/02/2020,D,0.0,61912.0,0.0,88236.0
1,1,2020-02-18 00:00:00,18/02/2020,D,0.0,50881.0,0.0,61912.0
1,1,2020-02-19 00:00:00,19/02/2020,D,0.0,90625.0,0.0,50881.0
1,1,2020-02-20 00:00:00,20/02/2020,D,0.0,43209.0,0.0,90625.0
1,1,2020-02-21 00:00:00,21/02/2020,D,0.0,31583.0,0.0,43209.0
1,1,2020-02-22 00:00:00,22/02/2020,D,0.0,25050.0,0.0,31583.0
1,1,2020-02-23 00:00:00,23/02/2020,D,0.0,38928.0,0.0,25050.0
1,1,2020-02-24 00:00:00,24/02/2020,D,0.0,75167.0,0.0,38928.0
1,1,2020-02-25 00:00:00,25/02/2020,D,0.0,66283.0,0.0,75167.0
1,1,2020-02-26 00:00:00,26/02/2020,D,0.0,50611.0,0.0,66283.0
1,1,2020-02-27 00:00:00,27/02/2020,D,0.0,97357.0,0.0,50611.0
1,1,2020-02-28 00:00:00,28/02/2020,D,0.0,52605.0,0.0,97357.0
1,1,2020-02-29 00:00:00,2020 February,M,0.0,113130.0,0.0,110193.0
1,1,2020-02-29 00:00:00,29/02/2020,D,0.0,74077.0,0.0,52605.0
1,1,2020-03-01 00:00:00,01/03/2020,D,0.0,26295.0,0.0,74077.0
1,1,2020-03-02 00:00:00,02/03/2020,D,0.0,90479.0,0.0,26295.0
1,1,2020-03-03 00:00:00,03/03/2020,D,0.0,43116.0,0.0,90479.0
1,1,2020-03-04 00:00:00,04/03/2020,D,0.0,91466.0,0.0,43116.0
1,1,2020-03-05 00:00:00,05/03/2020,D,0.0,43747.0,0.0,91466.0
