d_kpi_id;d_level0_id;d_level1_id;d_level2_id;Numerator;Denominator;d_date_id
1;1;1;1;2461;;20200101
1;1;1;1;2417;;20200102
1;1;1;1;520;;20200103
1;1;1;1;2469;;20200104
1;1;1;1;1521;;20200105
1;1;1;1;2479;;20200106
1;1;1;1;695;;20200107
1;1;1;1;1712;;20200108
1;1;1;1;2211;;20200109
1;1;1;1;1395;;20200110
1;1;1;1;3195;;20200111
1;1;1;1;454;;20200112
1;1;1;1;2497;;20200113
1;1;1;1;2010;;20200114
1;1;1;1;3120;;20200115
1;1;1;1;167;;20200116
1;1;1;1;657;;20200117
1;1;1;1;2119;;20200118
1;1;1;1;3161;;20200119
1;1;1;1;1048;;20200120
1;1;1;1;2179;;20200121
1;1;1;1;1332;;20200122
1;1;1;1;2594;;20200123
1;1;1;1;416;;20200124
1;1;1;1;259;;20200125
1;1;1;1;1091;;20200126
1;1;1;1;2584;;20200127
1;1;1;1;648;;20200128
1;1;1;1;123;;20200129
1;1;1;1;512;;20200130
1;1;1;1;1993;;20200131
1;1;1;1;1407;;20200201
1;1;1;1;1815;;20200202
1;1;1;1;941;;20200203
1;1;1;1;3199;;20200204
1;1;1;1;2679;;20200205
1;1;1;1;924;;20200206
1;1;1;1;1152;;20200207
1;1;1;1;1229;;20200208
1;1;1;1;197;;20200209
1;1;1;1;887;;20200210
1;1;1;1;2862;;20200211
1;1;1;1;891;;20200212
1;1;1;1;2640;;20200213
1;1;1;1;2420;;20200214
1;1;1;1;177;;20200215
1;1;1;1;1203;;20200216
1;1;1;1;568;;20200217
1;1;1;1;870;;20200218
1;1;1;1;1228;;20200219
1;1;1;1;2940;;20200220
1;1;1;1;2509;;20200221
1;1;1;1;1949;;20200222
1;1;1;1;3020;;20200223
1;1;1;1;2649;;20200224
1;1;1;1;215;;20200225
1;1;1;1;1947;;20200226
1;1;1;1;1725;;20200227
1;1;1;1;2089;;20200228
1;1;1;1;3047;;20200229
1;1;1;1;2710;;20200301
1;1;1;1;236;;20200302
1;1;1;1;487;;20200303
1;1;1;1;167;;20200304
1;1;1;1;862;;20200305
1;1;1;1;308;;20200306
1;1;1;1;620;;20200307
1;1;1;1;1652;;20200308
1;1;1;1;1532;;20200309
1;1;1;1;2305;;20200310
1;1;1;1;2893;;20200311
1;1;1;1;405;;20200312
1;1;1;1;2621;;20200313
1;1;1;1;2441;;20200314
1;1;1;1;249;;20200315
1;1;1;1;1578;;20200316
1;1;1;1;475;;20200317
1;1;1;1;2174;;20200318
1;1;1;1;2973;;20200319
1;1;1;1;1551;;20200320
1;1;1;1;2076;;20200321
1;1;1;1;2513;;20200322
1;1;1;1;1024;;20200323
1;1;1;1;837;;20200324
1;1;1;1;683;;20200325
1;1;1;1;1737;;20200326
1;1;1;1;1223;;20200327
1;1;1;1;2709;;20200328
1;1;1;1;2150;;20200329
1;1;1;1;2046;;20200330
1;1;1;1;2674;;20200331
1;1;1;1;2582;;20200401
1;1;1;1;2825;;20200402
1;1;1;1;716;;20200403
1;1;1;1;3076;;20200404
1;1;1;1;611;;20200405
1;1;1;1;1262;;20200406
1;1;1;1;3011;;20200407
1;1;1;1;2604;;20200408
1;1;1;1;377;;20200409
1;1;1;1;1989;;20200410
1;1;1;1;2626;;20200411
1;1;1;1;1276;;20200412
1;1;1;1;2258;;20200413
1;1;1;1;1659;;20200414
1;1;1;1;1178;;20200415
1;1;1;1;833;;20200416
1;1;1;1;2167;;20200417
1;1;1;1;2907;;20200418
1;1;1;1;1844;;20200419
1;1;1;1;1736;;20200420
1;1;1;1;2671;;20200421
1;1;1;1;2254;;20200422
1;1;1;1;1555;;20200423
1;1;1;1;2631;;20200424
1;1;1;1;368;;20200425
1;1;1;1;2377;;20200426
1;1;1;1;3084;;20200427
1;1;1;1;202;;20200428
1;1;1;1;992;;20200429
1;1;1;1;2687;;20200430
1;1;1;1;419;;20200501
1;1;1;1;1567;;20200502
1;1;1;1;1047;;20200503
1;1;1;1;813;;20200504
1;1;1;1;1923;;20200505
1;1;1;1;861;;20200506
1;1;1;1;2088;;20200507
1;1;1;1;2567;;20200508
1;1;1;1;2258;;20200509
